,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16
59,-0.07839737,0.5464776,-0.31449208,-0.6957523,-0.04517284,-0.73157525,0.6220891,0.96294284,-0.07314839,-0.28543982,-0.70209724,0.078174174,-0.0068982616,-0.03774073,-0.08506801,0.67392164
60,-0.15555994,0.5467327,-0.31449208,-0.70659226,-0.1032864,-0.72545177,0.62160164,0.9671007,-0.14158429,-0.28543982,-0.7049966,0.13229093,0.085835256,-0.03774073,-0.08506801,0.66934067
61,-0.10841392,0.5482948,-0.31449208,-0.70175415,-0.067636386,-0.72996265,0.6233537,0.96572804,-0.098753504,-0.28543982,-0.7042083,0.098998584,0.028553367,-0.03774073,-0.08506801,0.67281675
62,-0.0958723,0.5491958,-0.31449208,-0.70073557,-0.05772009,-0.7312708,0.6244976,0.96553504,-0.087092504,-0.28543982,-0.703823,0.09020413,0.012860385,-0.03774073,-0.08506801,0.6740688
63,-0.07297402,0.54989177,-0.31449208,-0.69815934,-0.04014269,-0.733359,0.62547743,0.964718,-0.06634094,-0.28543982,-0.7030947,0.074128695,-0.015128582,-0.03774073,-0.08506801,0.6758251
64,-0.30173892,0.5255266,-0.31449208,-0.69768125,-0.21599375,-0.6852223,0.59467226,0.9332142,-0.27175453,-0.28543982,-0.68402964,0.23487578,0.26295793,-0.03774073,-0.08506801,0.63168174
65,-0.1995367,0.5002666,-0.31449208,-0.6485326,-0.14011161,-0.66034645,0.56691015,0.8800782,-0.18214712,-0.28543982,-0.648072,0.16396917,0.14050816,-0.03774073,-0.08506801,0.60568297
66,-0.116361216,0.50136405,-0.31449208,-0.6380711,-0.077018,-0.6674679,0.5688268,0.87639344,-0.10758346,-0.28543982,-0.64534223,0.10556221,0.03981126,-0.03774073,-0.08506801,0.611279
67,-0.18684165,0.5275883,-0.31449208,-0.6834056,-0.12814091,-0.6951232,0.5982245,0.9282338,-0.16846351,-0.28543982,-0.6798191,0.15433003,0.12319608,-0.03774073,-0.08506801,0.6398521
68,-0.2768469,0.50103724,-0.31449208,-0.6598798,-0.19821306,-0.6544194,0.5669124,0.8845617,-0.25041336,-0.28543982,-0.6511784,0.21814735,0.23317523,-0.03774073,-0.08506801,0.6013243
69,-0.19956163,0.4788243,-0.31449208,-0.61817485,-0.1407773,-0.63128424,0.54243755,0.8377018,-0.1826462,-0.28543982,-0.61950403,0.16464399,0.14050838,-0.03774073,-0.08506801,0.5774728
70,-0.23768374,0.4024171,-0.31449208,-0.51966023,-0.17528649,-0.53158146,0.45474318,0.69957286,-0.22198232,-0.28543982,-0.5280598,0.1934603,0.19075051,-0.03774073,-0.08506801,0.4799225
71,-0.2851737,0.42901495,-0.31449208,-0.5621015,-0.20883988,-0.56120205,0.48481455,0.7503927,-0.2622169,-0.28543982,-0.5616791,0.22611436,0.24618793,-0.03774073,-0.08506801,0.5101131
